"","percentile","suitability","km2"
"1","1%",2.75254836878958e-06,70127.1614405122
"2","2%",5.13677173330507e-06,69418.6273516998
"3","3%",8.19476349533943e-06,68710.0932628876
"4","4%",1.21807706818799e-05,68001.559174071
"5","5%",1.7394814221916e-05,67293.7631415974
"6","6%",2.52388108492596e-05,66585.2290527809
"7","7%",3.47388267982751e-05,65876.6949639646
"8","8%",4.58751419500913e-05,65168.1608751473
"9","9%",6.10719580436125e-05,64460.3648426737
"10","10%",8.10329474916216e-05,63751.8307538569
"11","11%",0.000105991042801179,63042.5586086973
"12","12%",0.000138163493829779,62334.7625762228
"13","13%",0.000170883689861512,61626.9665437493
"14","14%",0.000207919700187631,60917.6943985904
"15","15%",0.000250240693276282,60209.8983661162
"16","16%",0.000291163538349792,59501.3642773
"17","17%",0.000336781857185997,58793.5682448257
"18","18%",0.000382214770070277,58085.0341560092
"19","19%",0.000436152084148489,57376.5000671927
"20","20%",0.000487551355035976,56667.9659783759
"21","21%",0.000538303487701342,55960.1699459025
"22","22%",0.000589132774621248,55251.6358570852
"23","23%",0.000639480553218164,54543.1017682687
"24","24%",0.000696350878570229,53834.5676794524
"25","25%",0.000756619352614507,53126.7716469782
"26","26%",0.000818719010567293,52418.2375581623
"27","27%",0.000884267996298149,51709.7034693457
"28","28%",0.000954617687966675,51001.1693805292
"29","29%",0.00102845660876483,50293.3733480553
"30","30%",0.00110805407166481,49584.8392592394
"31","31%",0.00119173404527828,48876.3051704225
"32","32%",0.00128150230739266,48167.7710816063
"33","33%",0.00136835739249364,47459.9750491321
"34","34%",0.00146518222754821,46751.440960316
"35","35%",0.00156136770965531,46042.9068714993
"36","36%",0.00166824378538877,45334.372782683
"37","37%",0.00177813626942225,44626.5767502091
"38","38%",0.00188159360550344,43918.0426613927
"39","39%",0.00199916935525835,43209.5085725762
"40","40%",0.00211990717798471,42500.9744837595
"41","41%",0.00224871648242697,41793.1784512855
"42","42%",0.00238629686646164,41084.6443624692
"43","43%",0.00253915117355064,40376.1102736522
"44","44%",0.0026898980140686,39667.576184836
"45","45%",0.00286098360083997,38959.780152362
"46","46%",0.00305948045570403,38251.2460635453
"47","47%",0.00325883598998189,37542.7119747293
"48","48%",0.00344310700893402,36833.4398295703
"49","49%",0.00363726983778179,36126.3818534386
"50","50%",0.00386564829386771,35417.847764622
"51","51%",0.00408605404663831,34709.3136758053
"52","52%",0.00431828759610653,34000.7795869895
"53","53%",0.00457229244057089,33292.9835545168
"54","54%",0.00482548773288727,32584.449465702
"55","55%",0.00506554066669196,31875.9153768873
"56","56%",0.00531478459015489,31167.3812880724
"57","57%",0.00560702756047249,30458.8471992584
"58","58%",0.00590721494518221,29751.0511667864
"59","59%",0.00623989477753639,29042.5170779722
"60","60%",0.00659350818023086,28333.9829891573
"61","61%",0.00698484771419317,27626.1869566852
"62","62%",0.00742039829492569,26916.914811528
"63","63%",0.00789616350084543,26209.1187790561
"64","64%",0.00841943360865116,25500.5846902414
"65","65%",0.00900266994722188,24792.7886577693
"66","66%",0.00965689541772008,24084.2545689548
"67","67%",0.0104001695290208,23375.72048014
"68","68%",0.011208307929337,22667.1863913252
"69","69%",0.0121329224202782,21959.3903588532
"70","70%",0.0131896301172674,21250.8562700385
"71","71%",0.014284186065197,20542.3221812239
"72","72%",0.0153993293642998,19833.7880924096
"73","73%",0.0166696975938976,19125.9920599372
"74","74%",0.0180676132440567,18417.4579711225
"75","75%",0.0194435496814549,17708.9238823077
"76","76%",0.021087808534503,17000.3897934933
"77","77%",0.022813524119556,16292.5937610213
"78","78%",0.0249803559854627,15584.0596722067
"79","79%",0.0274192923679948,14875.5255833926
"80","80%",0.0303489826619625,14166.9914945783
"81","81%",0.0338639114052057,13459.1954621064
"82","82%",0.0383003614842892,12750.6613732923
"83","83%",0.0435007214546204,12042.1272844778
"84","84%",0.0500116050243378,11333.593195663
"85","85%",0.0576805183663964,10625.7971631911
"86","86%",0.0670486018061638,9917.2630743766
"87","87%",0.0777495708316565,9208.72898556226
"88","88%",0.0911903381347656,8500.19489674772
"89","89%",0.106841774657369,7792.39886427555
"90","90%",0.125332862138748,7083.86477546084
"91","91%",0.145758990198374,6375.33068664631
"92","92%",0.170191049575806,5666.79659783169
"93","93%",0.198088321834803,4959.00056535948
"94","94%",0.230722546577454,4250.46647654529
"95","95%",0.273610852658749,3541.93238773073
"96","96%",0.321821689605713,2832.66024257347
"97","97%",0.386806309223175,2125.6022664439
"98","98%",0.470701470971107,1417.06817762953
"99","99%",0.601058378815651,708.534088814764
